mapstat_id,timestamp_unix,team1_id,team1_nome,team1_score,team2_id,team2_nome,team2_score,vencedor,mapa,evento_id,evento_nome
170893,1708782600000,9928,GamerLegion,8,11883,9 Pandas,13,9 Pandas,Ancient,7578,PGL CS2 Major Copenhagen 2024 Europe Last Chance Qualifier
170883,1708782600000,11883,9 Pandas,14,9928,GamerLegion,16,GamerLegion,Overpass,7578,PGL CS2 Major Copenhagen 2024 Europe Last Chance Qualifier
170871,1708772400000,9928,GamerLegion,13,12527,Guild Eagles,11,GamerLegion,Mirage,7578,PGL CS2 Major Copenhagen 2024 Europe Last Chance Qualifier
170867,1708772400000,9928,GamerLegion,13,12527,Guild Eagles,11,GamerLegion,Vertigo,7578,PGL CS2 Major Copenhagen 2024 Europe Last Chance Qualifier
170852,1708701600000,9928,GamerLegion,13,4991,fnatic,7,GamerLegion,Ancient,7578,PGL CS2 Major Copenhagen 2024 Europe Last Chance Qualifier
170850,1708701600000,4991,fnatic,14,9928,GamerLegion,16,GamerLegion,Vertigo,7578,PGL CS2 Major Copenhagen 2024 Europe Last Chance Qualifier
170849,1708694400000,12527,Guild Eagles,13,12394,BetBoom,10,Guild Eagles,Ancient,7578,PGL CS2 Major Copenhagen 2024 Europe Last Chance Qualifier
170848,1708694400000,12527,Guild Eagles,13,12394,BetBoom,4,Guild Eagles,Overpass,7578,PGL CS2 Major Copenhagen 2024 Europe Last Chance Qualifier
170847,1708686000000,6665,Astralis,8,11883,9 Pandas,13,9 Pandas,Nuke,7578,PGL CS2 Major Copenhagen 2024 Europe Last Chance Qualifier
170846,1708686000000,11883,9 Pandas,13,6665,Astralis,11,9 Pandas,Overpass,7578,PGL CS2 Major Copenhagen 2024 Europe Last Chance Qualifier
170823,1708630200000,9455,Imperial,6,8297,FURIA,13,FURIA,Vertigo,7645,IEM Dallas 2024 South America Closed Qualifier
170820,1708630200000,9455,Imperial,7,8297,FURIA,13,FURIA,Nuke,7645,IEM Dallas 2024 South America Closed Qualifier
170819,1708617600000,9928,GamerLegion,9,7175,HEROIC,13,HEROIC,Mirage,7577,PGL CS2 Major Copenhagen 2024 Europe RMR B
170818,1708617600000,7175,HEROIC,13,9928,GamerLegion,5,HEROIC,Overpass,7577,PGL CS2 Major Copenhagen 2024 Europe RMR B
170817,1708607700000,11419,ECSTATIC,13,12527,Guild Eagles,5,ECSTATIC,Overpass,7577,PGL CS2 Major Copenhagen 2024 Europe RMR B
170816,1708607700000,12527,Guild Eagles,9,11419,ECSTATIC,13,ECSTATIC,Inferno,7577,PGL CS2 Major Copenhagen 2024 Europe RMR B
170814,1708607700000,11419,ECSTATIC,3,12527,Guild Eagles,13,Guild Eagles,Ancient,7577,PGL CS2 Major Copenhagen 2024 Europe RMR B
